alpha,het_overall,het_agent_population,het_task_distribution,het_threat_profile,acc_fedavg,acc_fedprox,acc_scaffold,acc_fednova,acc_fedavg_std,acc_fedprox_std,acc_scaffold_std,acc_fednova_std
IID,0.0032,0.0073,0.0013,0.0011,0.9908,0.9308,0.9908,0.9908,0.0047,0.0072,0.0031,0.0047
5.0,0.009,0.0152,0.007,0.0048,0.9833,0.8708,0.9875,0.9833,0.0143,0.0258,0.0089,0.0143
1.0,0.0333,0.0473,0.0258,0.0267,0.9483,0.8433,0.9808,0.955,0.0297,0.017,0.0082,0.0329
0.5,0.0532,0.0791,0.0535,0.0269,0.9325,0.8733,0.9608,0.9233,0.0461,0.0174,0.0245,0.036
0.1,0.1684,0.2061,0.1982,0.1008,0.7892,0.6625,0.7683,0.755,0.0927,0.0714,0.09,0.073
0.05,0.2448,0.3015,0.2597,0.173,0.7175,0.6933,0.8583,0.7267,0.0195,0.017,0.0791,0.0139
